编号,题名,作者,作者机构,日期,期刊,专辑,专题,引用数,下载数,关键词,摘要,URL,爬取时间
26,基于环境扫描的“十四五”时期高校图书馆智慧转型探索,田丽梅,渤海大学图书馆,2021/10/15,图书馆工作与研究,信息科技,图书情报与数字图书馆,14,1190,十四五规划; 高校图书馆; 智慧转型,"对高校图书馆转型过程中面临的政治环境、经济环境、信息环境、教育环境以及用户环境进行扫描,指出新环境下高校图书馆应构建泛在化、智能化的知识服务体系,延伸专业化、精细化的学科服务,构建绿色发展的信息资源保障体系,创新学习空间,构建集约化、协同化的组织结构,打造学科服务能力过硬的智慧馆员队伍,拓宽智慧服务领域。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8V-amwdsySeBDFSB3-gKpy77i6t11wKi5xCt_e9VnU95muaNFT261sX6NOix5Rp7_dwmw_Y1mTOIPqQKzANyJ5Xz7s2BNlyOJ_mgdiQOjQd3kC8EjJ_os1Fjij1_YxRezfyJXWgPtBVpA==&uniplatform=NZKPT&language=CHS,2024/6/28
27,新型智慧城市视角下未来社区图书馆建设研究——以杭州市余杭区临平图书馆为例,罗素洁;李烽平,杭州市余杭区图书馆,2021/10/15,图书馆工作与研究,信息科技,图书情报与数字图书馆,13,1634,新型智慧城市; 智慧图书馆; 未来社区; 社区图书馆,"以杭州市余杭区图书馆智慧城市分馆临平图书馆为例,指出新型智慧城市视角下未来社区图书馆建设中存在技术与服务融合不足、资源能力无法转化为服务能力、空间服务能力不足、馆员能力亟待提升等问题,进而提出未来社区智慧图书馆要通过技术赋能强化智慧服务、资源赋能保障智慧服务、空间赋能泛化智慧服务、馆员赋能深化智慧服务等建议。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8V-amwdsySeBDFSB3-gKpy77i6t11wKi5xCt_e9VnU95muaNFT261sXFxdQOBSmuJKcqaHFYGrN5zyNCvPKbND67QSCP6Nncd8lVpzGk8Y4coCdQ2Qdn9dzauUxgtzEgy3-1GNDIGBRdA==&uniplatform=NZKPT&language=CHS,2024/6/28
28,人工智能时代无障碍阅读合理使用的适用之困与疏解之道,鲁甜;赵江琦,1. 西北政法大学经济法学院2. 西北政法大学人权研究中心,2021/10/15,出版发行研究,信息科技,计算机软件及计算机应用;出版,10,1047,无障碍阅读版本; 合理使用; 《马拉喀什条约》; 被授权实体,"著作权合理使用为无障碍阅读版本的制作与利用提供了侵权豁免路径。人工智能时代,我国无障碍阅读合理使用面临诸多困境。基于此,有必要结合《马拉喀什条约》内容,分析我国合理使用条款之不足,通过完善无障碍阅读合理使用的实施机制,明确被授权实体概念,并借用区块链技术等方式疏解该条款的适用之困。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8VByt0rIQw01q4u82truW6VpbC-Q147YGIQ4rZuzg_28lNM2vKh52Xkv1xewpXQrEsYYvJYIz5tAj7nXbyBY4w8WRsUTD_rRu2op5T9AFGtRuH8iTNWn4RWnq0hUA70gQr4Jk2WoB_fMw==&uniplatform=NZKPT&language=CHS,2024/6/28
29,公共图书馆阅读服务体系的构建策略与启示——以广东佛山的邻里图书馆项目为例,惠艳,河南省图书馆,2021/9/30,出版广角,信息科技,图书情报与数字图书馆,7,416,全民阅读; 公共图书馆; 阅读服务; 邻里图书馆,"全民阅读纵深发展阶段,创新构建公共图书馆阅读服务体系,具有重要的现实意义。文章阐述了我国公共图书馆阅读服务体系的构建原因、政策保障、构建模式等内容,并结合广东佛山的邻里图书馆项目实践和经验启示,深入分析了新时期公共图书馆阅读服务体系的构建策略,以期为公共图书馆阅读服务体系的创新建设和地方公共文化服务体系深入基层、惠及大众提供有益参考。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8UypHlGriZ-E1FMvMsiGKRoCd6gP15T3u4UaeSN5TUUjf634oO2Abktsf2Ik-BqeRtl-s0IUqg1s-IH6OSOV-guu6IzV36xqvKWgB2XQujvclFhdeT9RIo0HasVRgytLUlkU79C7p39kg==&uniplatform=NZKPT&language=CHS,2024/6/28
30,“双高计划”背景下高职院校图书馆服务能力建设探析——以长沙航空职业技术学院图书馆为例,李勇,长沙航空职业技术学院,2021/9/30,图书馆工作与研究,信息科技,图书情报与数字图书馆,11,1315,双高计划; 高职院校; 图书馆; 服务能力,"""双高计划""对图书馆服务能力提出新要求,高职院校图书馆应适应新形势,树立创新发展理念,借鉴""双一流""背景下本科院校图书馆成功经验夯实自身服务能力建设。以长沙航空职业技术学院图书馆服务能力建设实践探索""双高计划""背景下高职院校图书馆服务能力建设路径,以期为深化高职院校图书馆服务能力建设提供参考。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8UypHlGriZ-E1FMvMsiGKRoCd6gP15T3u4VRhGo902gsFZgFgiC7vk3JcRvnYuu_n9lcgRy5HrFat_PxXYPj6U6TH_UaW-KZ_LMgrqOh2vCaWFgwXg4p3mtB-5r2HPgNa5kOrHMqPzMGA==&uniplatform=NZKPT&language=CHS,2024/6/28
31,党校智慧图书馆建设研究,徐桂英,中共贵州省委党校,2021/9/30,图书馆工作与研究,社会科学Ⅰ辑;信息科技,中国共产党;计算机软件及计算机应用;图书情报与数字图书馆,5,519,智慧图书馆; 党校; 大数据,"立足于互联网、大数据、云计算等新技术高速发展的背景,本文总结分析党校智慧图书馆的特征和角色定位,探讨党校智慧图书馆构建的关键要素,并提出党校智慧图书馆建设要充分利用现代信息技术挖掘整合资源、深入研究用户、将资源与用户精准关联的实施对策,以实现党校智慧图书馆建设的目标。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8Ui2im5m3KUyolmSjXtm-LBlOK1CQUzxIRAWACNss5L85UrYVH8K5bI3vXaWy4rqDFfT9WXxEg_Nojj421Im9fCLBJ98VRbGRJreaBmJQ3GHa1Qgf3mb06RZf9NjESQhS3IYurdwn3-JA==&uniplatform=NZKPT&language=CHS,2024/6/28
32,美国大学图书馆虚拟现实服务调查与分析,俞德凤,南京大学图书馆,2021/9/25,数字图书馆论坛,信息科技,图书情报与数字图书馆,11,673,虚拟现实服务; 大学图书馆; 美国; 案例分析,"虚拟现实被认为是21世纪人工智能时代的主要技术。本文在前期预调研的基础上,选取8所美国大学图书馆作为调研对象,通过文献调研和网络调研掌握其开展虚拟现实服务的现状,从虚拟现实服务的支持形式与服务内容进行分析和总结,并为国内大学图书馆开展虚拟现实服务提出建议。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8Ui2im5m3KUyolmSjXtm-LBlOK1CQUzxIQHRArGYfZc-mtbRBJOd1b27snu0ASjSm_S0S8YxjCdUASJG9pofmrigkZodLXhQQuCEXS17WL3xu-0TjxGM1cZCDKvH-lZi8IWT7b9BjKaZA==&uniplatform=NZKPT&language=CHS,2024/6/28
33,大数据环境下公共图书馆精准服务：内涵、价值及应用路径,王世恩,河南省委党校图书馆,2021/9/15,出版广角,信息科技,图书情报与数字图书馆,9,562,大数据; 图书馆; 精准服务; 内涵; 价值; 应用路径,"公共图书馆在大数据环境下开展精准服务已经成为大势所趋。大数据挖掘技术、人工智能技术、云计算技术等为公共图书馆开展精准服务提供了支撑,公共图书馆通过精准识别读者阅读需求、服务资源定位、服务过程精准控制、精准评价图书馆服务效果来实现图书馆服务的优质化与高效化,推动图书馆由原来的粗放式服务转变为精准式服务。以大数据为驱动,以读者为主体,以图书馆馆员为引导,多元共同参与的精准服务在当下已经变为现实,这也是当前公共图书馆顺应时代发展的必由之路。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8XvPW1tAjUN__D-hGAbi66oWly0bSJPuE9f1ZedMlJZ0MZXfJ3WokJ0TxDdR3qqGHFCZQo4Sy4TwE225IzNOx9Gjz5gVGVmGmpsmmlzm4IvBHAeJlLZGvzXF5URPELdwAnTBJ3LVNC8kA==&uniplatform=NZKPT&language=CHS,2024/6/28
34,基于深度学习的行人检测方法在图书馆中的应用研究,牛悦;李辉;刘钊,西北工业大学图书馆,2021/9/15,图书馆杂志,信息科技,计算机软件及计算机应用;自动化技术;图书情报与数字图书馆,3,687,深度学习; 行人检测; 图书馆; 计算机视觉; 神经网络,"深度学习和计算机视觉技术在产业升级中发挥了重要的价值,是建设下一代智慧图书馆的关键技术,而行人检测技术是深度学习结合计算机视觉技术重要的研究应用方向。本文探索了行人检测技术在图书馆中的应用,探讨了该技术对图书馆服务的重要意义,并且成功地将此项技术的代表方法YOLOv3实践在西北工业大学图书馆场景中,详细讨论了行人检测技术如何提高西北工业大学图书馆服务的应用实例。我们在行人数据库上训练了YOLOv3网络模型,并将其部署在西北工业大学的图书馆中,代表性场景的行人检测结果表明,YOLOv3在精度和实时性上能够满足图书馆场景下行人检测的需求。本文是将深度学习和计算机视觉技术用于构建智慧图书馆的一次有益尝试,也为其他相关技术在图书馆的落地实践提供了较好的借鉴作用。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8Xq-HaxNqEJ86vwf8AiDvalg85FBUek-4FtAF49CFz1hNd4jeDy4FFP-4PhwPHwRXSdAHF3-w3WdiRzYK4EidBwqow8xXsdGYb2GvY01BpsVns1peEvshzujsUZMbGX7THbEIuGmWJizA==&uniplatform=NZKPT&language=CHS,2024/6/28
35,智慧社会知识生产视角下高校智慧图书馆知识服务研究,张奇云;李超,天津工业大学图书馆,2021/9/15,图书馆,信息科技,图书情报与数字图书馆,17,950,智慧社会; 高校; 智慧图书馆; 知识生产; 知识服务,"智慧社会建设对图书馆知识服务提出了更高的要求,同时也为智慧图书馆实现知识服务转型带来了新的发展机遇。本文阐述了智慧社会知识生产的本质特征和智慧图书馆知识服务理念的发展,从知识生产视角分析了智慧社会中知识生产模式的特点,并在此基础上探讨了高校智慧图书馆知识服务模式的发展趋势和实现知识服务模式转型的途径。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8Xq-HaxNqEJ86vwf8AiDvalg85FBUek-4GjCe3bM88_qnaoW2lsohLQnIB_luWZsxn8KK15Ka8B-R8oywgp_3CLzqgu0aUpHnPyXHRFkJSvhNaWf-sOIWZ40dAkNrSSvw53Ajvof_9Wrw==&uniplatform=NZKPT&language=CHS,2024/6/28
36,国际视野下图书馆机器人应用现状及其机遇与挑战,李宇;石磊;姚天泓;张哲,东北大学图书馆,2021/9/15,图书馆,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,14,1031,机器人; 智慧图书馆; 国际视野; 人工智能; 图书馆,"文章以国际视野下图书馆机器人应用为视角,梳理了国内外图书馆开展机器人服务的现状,研究分析我国图书馆应用机器人面临的机遇和挑战,并提出应对策略,为国内图书馆探索机器人服务提供借鉴参考,以期推动智慧图书馆的建设发展。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WnR_MxNySRgyMJvh_NjDPZJ7uoB9oU8wvQx5Y30v-u_n_mpBAyaK-Og7pgzaiN5X2s0N31OSPPFj8Iyv8eclsrURxy7zSxAQ4ss9bToeYhbvVfjSzPReBH9odednoSS_exmRB926kF_Q==&uniplatform=NZKPT&language=CHS,2024/6/28
37,专栏特邀编审,,,2021/9/15,计算机科学,无,无,0,25,无,"<正>邢春晓博士,研究员,博士生导师,清华大学信息技术研究院、清华大学互联网产业研究院和清华大学新型城镇化研究院副院长。主要研究领域为数据库和数据仓库、大数据和知识工程、人工智能、软件工程、区块链技术、智慧城市、智慧医疗、数字图书馆和电子政务关键技术等。发表学术论文350余篇,其中SCI 40余篇、EI 200余篇,软件著作权23项,获得发明专利40项,教育部科技成果1项。作为主要负责人承担了国家973项目、国家自然基金重点项目、国家863重点项目和目标导向项目、国家高科技产业化CNGI项目、国家科技支撑计划项目等。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8V5cVrQxMmoUx0seBu_wLEmkedbCOjkzZWoAZO-_6eMIInjmOzKcROcxuomOxoHhBWlhE9eJDkAnzz9-AO462bvcTU6skm0UnTYZWwob8bcQYNauFMSZifYyJ3aOF6s7uh4Uyd-0DGkbw==&uniplatform=NZKPT&language=CHS,2024/6/28
38,数字经济时代我国图书馆知识服务变革研究,陆康;刘慧;张婧;任贝贝,1. 南京晓庄学院图书馆2. 南京晓庄学院幼儿师范学院3. 上海市网络技术综合应用研究所,2021/9/15,图书馆学研究,信息科技,图书情报与数字图书馆,6,933,数字经济; 图书馆; 知识服务; 知识付费; 知识开放,"以大数据、人工智能为代表的互联网技术以及以该技术的平台组织为代表的数字经济实践表明,人类活动正处于不确定环境中。知识服务的提供者——图书馆需要重新进行角色定位,重塑内涵,以适应数字经济等外部环境变化所带来的影响。全面梳理图书馆知识服务相关文献,在总结知识付费、知识开放、知识共享等因素的基础上,分析数字经济背景下知识付费、知识开放对图书馆知识服务的影响,并构建数字资源、组织模式以及开放模式三个方面并重的图书馆知识服务创新路径,为我国图书馆的角色定位与内涵发展提供重要的重塑依据。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8V5cVrQxMmoUx0seBu_wLEmkedbCOjkzZXstGCAypUMXpHDxD99ZUnIvpQfWNNjPJFbdOfdK6ryqo9ucegq_AK2lqrIu14s5E0_iulf6DwwcuTYZMwVaq1xgClEdof61BCgVpxpKgiHAA==&uniplatform=NZKPT&language=CHS,2024/6/28
39,知识获取、人工智能与图书馆精神,焦艳鹏;刘葳,1. 华东政法大学2. 天津大学图书馆,2021/9/13 16:11,中国图书馆学报,信息科技,图书情报与数字图书馆,18,2518,图书馆精神; 知识获取; 人工智能; 学习模式,"图书馆的运行机理中蕴含着人类知识获取的基本逻辑:良性的知识获取活动应具有自主性、系统性和准确性等特征。这些特征既是科学的客观性体现,也是人类文明演进过程中形成的自由、平等等人文价值在图书馆领域的体现。我们可以将上述基本逻辑与精神价值归结为""图书馆精神""。我们遗憾地看到,近年来方兴未艾的基于人工智能技术的知识获取方式,正在摧毁""图书馆精神""。基于人工智能技术的知识获取具有强烈的供给特征,使得人类在知识获取上表现出明显的颗粒化、分散性、他主性、个体性等特征,使阅读者出现了严重的茧房效应,不仅打破了人类获取知识的内在科学逻辑,而且降低了知识所蕴含的人文价值和知识获取过程中的充实感。降低人工智能技术对人类知识获取所形成的不利影响,需要国家在人工智能技术应用于知识获取领域建立相关的国家标准、行业标准、技术标准;继续加强资源配置,为在图书馆的真实或网络场景中的阅读和知识获取建立完善的支撑保障体系。参考文献16。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8Xew_GEfJHw3QYRA9sW7g5g7Jzm-9A-ZXDGZ3ZNGJHeu3O6QN2Kns_I74AAGQlKitYLD_72TPlaPnU5MN8UCTD_40HBaftULoKsRhSW_W5gAPmKQHwyg5oqW-w1HB1syaVO1zUpm8HNag==&uniplatform=NZKPT&language=CHS,2024/6/28
40,国内智慧图书馆研究综合评述及展望,曾强;刘春丽;杜亮,1. 渤海船舶职业学院图书馆2. 中国医科大学图书馆3. 沈阳航空航天大学图书馆,2021/9/10,图书馆理论与实践,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,6,835,智慧图书馆; 智慧服务; 人工智能,"""智慧图书馆""概念自提出以来,已成为图书馆界学者研究的热点。文章通过对国内""智慧图书馆""研究的可视化统计分析,从对智慧图书馆概念的特征分析入手,着重对智慧图书馆构建以及服务等内容进行综合述评,并提出存在不足及未来发展趋势的展望,以期为智慧图书馆建设研究提供参考借鉴。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WFNn5UwgZh2Zty-19rNdHaCmDfJBsf87fFYqVTm2IIz4IlbCQEJ66vXJaMTg2YXsphlPyToxjHZWT_ak3tADZOg_A_tzwZK0aCIJuSSUTBjXwz0tP-J_TUWeKEAt7LIR29J9oZ-cvkRQ==&uniplatform=NZKPT&language=CHS,2024/6/28
